Year,ID,Location,Block,Border,Row,Tree,Family,Genotype,GLD,DBH,Height,Crown_height,Survival
Year_0,10324,LA_Tech,1,0,3,24,AGHS2,5,3.07,NA,0.44,NA,Alive
Year_0,10325,LA_Tech,1,1,3,25,AGHS2,5,5.8,NA,0.553,NA,Alive
Year_0,10326,LA_Tech,1,1,3,26,AGHS1,6,4.12,NA,0.476,NA,Alive
Year_0,10327,LA_Tech,1,0,3,27,AGHS1,6,4.15,NA,0.515,NA,Alive
Year_0,10328,LA_Tech,1,0,3,28,AGHS1,6,5.85,NA,0.527,NA,Alive
Year_0,10329,LA_Tech,1,0,3,29,AGHS1,6,4.41,NA,0.53,NA,Alive
Year_0,10330,LA_Tech,1,1,3,30,AGHS1,6,3.83,NA,0.485,NA,Alive
Year_0,10401,LA_Tech,1,1,4,1,AGHS3,1,5.5,NA,0.502,NA,Alive
Year_0,10402,LA_Tech,1,0,4,2,AGHS3,1,3.84,NA,0.495,NA,Alive
Year_0,10403,LA_Tech,1,0,4,3,AGHS3,1,5.95,NA,0.482,NA,Alive
Year_0,10404,LA_Tech,1,0,4,4,AGHS3,1,4.03,NA,0.559,NA,Alive
Year_0,10405,LA_Tech,1,1,4,5,AGHS3,1,3.55,NA,0.513,NA,Alive
Year_0,10406,LA_Tech,1,1,4,6,AGHS4,2,5.85,NA,0.624,NA,Alive
Year_0,10407,LA_Tech,1,0,4,7,AGHS4,2,4.06,NA,0.622,NA,Alive
Year_0,10408,LA_Tech,1,0,4,8,AGHS4,2,3.8,NA,0.454,NA,Alive
Year_0,10409,LA_Tech,1,0,4,9,AGHS4,2,4.62,NA,0.583,NA,Alive
Year_0,10410,LA_Tech,1,1,4,10,AGHS4,2,3.97,NA,0.595,NA,Alive
Year_0,10411,LA_Tech,1,1,4,11,AGH2,3,4.34,NA,0.379,NA,Alive
Year_0,10412,LA_Tech,1,0,4,12,AGH2,3,6.2,NA,0.56,NA,Alive
Year_0,10413,LA_Tech,1,0,4,13,AGH2,3,5.84,NA,0.536,NA,Alive
Year_0,10414,LA_Tech,1,0,4,14,AGH2,3,4.54,NA,0.332,NA,Alive
Year_0,10415,LA_Tech,1,1,4,15,AGH2,3,3.96,NA,0.334,NA,Alive
Year_0,10416,LA_Tech,1,1,4,16,AGH25,4,6.67,NA,0.526,NA,Alive
Year_0,10417,LA_Tech,1,0,4,17,AGH25,4,4.42,NA,0.37,NA,Alive
Year_0,10418,LA_Tech,1,0,4,18,AGH25,4,5.61,NA,0.574,NA,Alive
Year_0,10419,LA_Tech,1,0,4,19,AGH25,4,5.16,NA,0.49,NA,Alive
Year_0,10420,LA_Tech,1,1,4,20,AGH25,4,2.95,NA,0.445,NA,Alive
Year_0,10421,LA_Tech,1,1,4,21,AGHS2,5,4.62,NA,0.501,NA,Alive
Year_0,10422,LA_Tech,1,0,4,22,AGHS2,5,4.27,NA,0.381,NA,Alive
Year_0,10423,LA_Tech,1,0,4,23,AGHS2,5,3.52,NA,0.423,NA,Alive
Year_0,10424,LA_Tech,1,0,4,24,AGHS2,5,5.23,NA,0.37,NA,Alive
Year_0,10425,LA_Tech,1,1,4,25,AGHS2,5,5.05,NA,0.522,NA,Alive
Year_0,10426,LA_Tech,1,1,4,26,AGHS1,6,4.79,NA,0.532,NA,Alive
Year_0,10427,LA_Tech,1,0,4,27,AGHS1,6,4.95,NA,0.561,NA,Alive
Year_0,10428,LA_Tech,1,0,4,28,AGHS1,6,5.54,NA,0.575,NA,Alive
Year_0,10429,LA_Tech,1,0,4,29,AGHS1,6,3.51,NA,0.503,NA,Alive
Year_0,10430,LA_Tech,1,1,4,30,AGHS1,6,5.28,NA,0.631,NA,Alive
Year_0,10501,LA_Tech,1,1,5,1,AGHS3,1,4.86,NA,0.537,NA,Alive
Year_0,10502,LA_Tech,1,1,5,2,AGHS3,1,4.07,NA,0.512,NA,Alive
Year_0,10503,LA_Tech,1,1,5,3,AGHS3,1,4.32,NA,0.514,NA,Alive
Year_0,10504,LA_Tech,1,1,5,4,AGHS3,1,4.33,NA,0.517,NA,Alive
Year_0,10505,LA_Tech,1,1,5,5,AGHS3,1,3.98,NA,0.552,NA,Alive
Year_0,10506,LA_Tech,1,1,5,6,AGHS4,2,4.56,NA,0.495,NA,Alive
Year_0,10507,LA_Tech,1,1,5,7,AGHS4,2,6.33,NA,0.562,NA,Alive
Year_0,10508,LA_Tech,1,1,5,8,AGHS4,2,3.79,NA,0.505,NA,Alive
Year_0,10509,LA_Tech,1,1,5,9,AGHS4,2,4.52,NA,0.631,NA,Alive
Year_0,10510,LA_Tech,1,1,5,10,AGHS4,2,5.54,NA,0.632,NA,Alive
Year_0,10511,LA_Tech,1,1,5,11,AGH2,3,5.03,NA,0.434,NA,Alive
Year_0,10512,LA_Tech,1,1,5,12,AGH2,3,3.38,NA,0.493,NA,Alive
Year_0,10513,LA_Tech,1,1,5,13,AGH2,3,4.52,NA,0.551,NA,Alive
Year_0,10514,LA_Tech,1,1,5,14,AGH2,3,3.75,NA,0.299,NA,Alive
Year_0,10515,LA_Tech,1,1,5,15,AGH2,3,4.17,NA,0.382,NA,Alive
Year_0,10516,LA_Tech,1,1,5,16,AGH25,4,7.64,NA,0.53,NA,Alive
Year_0,10517,LA_Tech,1,1,5,17,AGH25,4,3.82,NA,0.456,NA,Alive
Year_0,10518,LA_Tech,1,1,5,18,AGH25,4,4.34,NA,0.37,NA,Alive
Year_0,10519,LA_Tech,1,1,5,19,AGH25,4,4.63,NA,0.566,NA,Alive
Year_0,10520,LA_Tech,1,1,5,20,AGH25,4,3.7,NA,0.324,NA,Alive
Year_0,10521,LA_Tech,1,1,5,21,AGHS2,5,3.72,NA,0.461,NA,Alive
Year_0,10522,LA_Tech,1,1,5,22,AGHS2,5,3.94,NA,0.494,NA,Alive
Year_0,10523,LA_Tech,1,1,5,23,AGHS2,5,3,NA,0.327,NA,Alive
Year_0,10524,LA_Tech,1,1,5,24,AGHS2,5,3.51,NA,0.38,NA,Alive
Year_0,10525,LA_Tech,1,1,5,25,AGHS2,5,3.53,NA,0.424,NA,Alive
Year_0,10526,LA_Tech,1,1,5,26,AGHS1,6,4.82,NA,0.571,NA,Alive
Year_0,10527,LA_Tech,1,1,5,27,AGHS1,6,4.43,NA,0.533,NA,Alive
Year_0,10528,LA_Tech,1,1,5,28,AGHS1,6,4.31,NA,0.558,NA,Alive
Year_0,10529,LA_Tech,1,1,5,29,AGHS1,6,4.3,NA,0.562,NA,Alive
Year_0,10530,LA_Tech,1,1,5,30,AGHS1,6,4.34,NA,0.526,NA,Alive
Year_0,10601,LA_Tech,2,1,6,1,AGHS1,6,4.35,NA,0.506,NA,Alive
Year_0,10602,LA_Tech,2,1,6,2,AGHS1,6,2.37,NA,0.524,NA,Alive
Year_0,10603,LA_Tech,2,1,6,3,AGHS1,6,4.07,NA,0.469,NA,Alive
Year_0,10604,LA_Tech,2,1,6,4,AGHS1,6,3.58,NA,0.5,NA,Alive
Year_0,10605,LA_Tech,2,1,6,5,AGHS1,6,3.01,NA,0.469,NA,Alive
Year_0,10606,LA_Tech,2,1,6,6,AGHS2,5,4.18,NA,0.478,NA,Alive
Year_0,10607,LA_Tech,2,1,6,7,AGHS2,5,4.48,NA,0.482,NA,Alive
Year_0,10608,LA_Tech,2,1,6,8,AGHS2,5,5.55,NA,0.465,NA,Alive
Year_0,10609,LA_Tech,2,1,6,9,AGHS2,5,4.51,NA,0.441,NA,Alive
Year_0,10610,LA_Tech,2,1,6,10,AGHS2,5,3.68,NA,0.424,NA,Alive
Year_0,10611,LA_Tech,2,1,6,11,AGHS4,2,6.16,NA,0.63,NA,Alive
Year_0,10612,LA_Tech,2,1,6,12,AGHS4,2,5.47,NA,0.546,NA,Alive
Year_0,10613,LA_Tech,2,1,6,13,AGHS4,2,3.75,NA,0.626,NA,Alive
Year_0,10614,LA_Tech,2,1,6,14,AGHS4,2,5.09,NA,0.529,NA,Alive
Year_0,10615,LA_Tech,2,1,6,15,AGHS4,2,3.97,NA,0.546,NA,Alive
Year_0,10616,LA_Tech,2,1,6,16,AGH2,3,3.21,NA,0.332,NA,Alive
Year_0,10617,LA_Tech,2,1,6,17,AGH2,3,3.13,NA,0.434,NA,Alive
Year_0,10618,LA_Tech,2,1,6,18,AGH2,3,4.76,NA,0.389,NA,Alive
Year_0,10619,LA_Tech,2,1,6,19,AGH2,3,3.59,NA,0.264,NA,Alive
Year_0,10620,LA_Tech,2,1,6,20,AGH2,3,4.65,NA,0.392,NA,Alive
Year_0,10621,LA_Tech,2,1,6,21,AGH25,4,7.98,NA,0.442,NA,Alive
Year_0,10622,LA_Tech,2,1,6,22,AGH25,4,4.3,NA,0.398,NA,Alive
Year_0,10623,LA_Tech,2,1,6,23,AGH25,4,8.83,NA,0.465,NA,Alive
Year_0,10624,LA_Tech,2,1,6,24,AGH25,4,4.39,NA,0.356,NA,Alive
Year_0,10625,LA_Tech,2,1,6,25,AGH25,4,3.8,NA,0.385,NA,Alive
Year_0,10626,LA_Tech,2,1,6,26,AGHS3,1,4.18,NA,0.523,NA,Alive
Year_0,10627,LA_Tech,2,1,6,27,AGHS3,1,6.01,NA,0.549,NA,Alive
Year_0,10628,LA_Tech,2,1,6,28,AGHS3,1,3.32,NA,0.518,NA,Alive
Year_0,10629,LA_Tech,2,1,6,29,AGHS3,1,5.6,NA,0.573,NA,Alive
Year_0,10630,LA_Tech,2,1,6,30,AGHS3,1,5.19,NA,0.527,NA,Alive
Year_0,10701,LA_Tech,2,1,7,1,AGHS1,6,3.4,NA,0.566,NA,Alive
Year_0,10702,LA_Tech,2,0,7,2,AGHS1,6,3.36,NA,0.535,NA,Alive
Year_0,10703,LA_Tech,2,0,7,3,AGHS1,6,3.32,NA,0.421,NA,Alive
Year_0,10704,LA_Tech,2,0,7,4,AGHS1,6,3.72,NA,0.522,NA,Alive
Year_0,10705,LA_Tech,2,1,7,5,AGHS1,6,4.28,NA,0.463,NA,Alive
Year_0,10706,LA_Tech,2,1,7,6,AGHS2,5,5.37,NA,0.465,NA,Alive
Year_0,10707,LA_Tech,2,0,7,7,AGHS2,5,4.7,NA,0.465,NA,Alive
Year_0,10708,LA_Tech,2,0,7,8,AGHS2,5,4.43,NA,0.495,NA,Alive
Year_0,10709,LA_Tech,2,0,7,9,AGHS2,5,3.9,NA,0.48,NA,Alive
Year_0,10710,LA_Tech,2,1,7,10,AGHS2,5,4.43,NA,0.486,NA,Alive
Year_0,10711,LA_Tech,2,1,7,11,AGHS4,2,4.84,NA,0.525,NA,Alive
Year_0,10712,LA_Tech,2,0,7,12,AGHS4,2,4.55,NA,0.545,NA,Alive
Year_0,10713,LA_Tech,2,0,7,13,AGHS4,2,3.34,NA,0.507,NA,Alive
Year_0,10714,LA_Tech,2,0,7,14,AGHS4,2,6.21,NA,0.555,NA,Alive
Year_0,10715,LA_Tech,2,1,7,15,AGHS4,2,4.46,NA,0.555,NA,Alive
Year_0,10716,LA_Tech,2,1,7,16,AGH2,3,5,NA,0.584,NA,Alive
Year_0,10717,LA_Tech,2,0,7,17,AGH2,3,3.73,NA,0.519,NA,Alive
Year_0,10718,LA_Tech,2,0,7,18,AGH2,3,6.22,NA,0.446,NA,Alive
Year_0,10719,LA_Tech,2,0,7,19,AGH2,3,4.32,NA,0.401,NA,Alive
Year_0,10720,LA_Tech,2,1,7,20,AGH2,3,6.2,NA,0.455,NA,Alive
Year_0,10721,LA_Tech,2,1,7,21,AGH25,4,6.45,NA,0.416,NA,Alive
Year_0,10722,LA_Tech,2,0,7,22,AGH25,4,3.13,NA,0.432,NA,Alive
Year_0,10723,LA_Tech,2,0,7,23,AGH25,4,3.76,NA,0.334,NA,Alive
Year_0,10724,LA_Tech,2,0,7,24,AGH25,4,4.35,NA,0.324,NA,Alive
Year_0,10725,LA_Tech,2,1,7,25,AGH25,4,4.75,NA,0.373,NA,Alive
Year_0,10726,LA_Tech,2,1,7,26,AGHS3,1,4.41,NA,0.581,NA,Alive
Year_0,10727,LA_Tech,2,0,7,27,AGHS3,1,4.64,NA,0.556,NA,Alive
Year_0,10728,LA_Tech,2,0,7,28,AGHS3,1,5.52,NA,0.541,NA,Alive
Year_0,10729,LA_Tech,2,0,7,29,AGHS3,1,4.95,NA,0.529,NA,Alive
Year_0,10730,LA_Tech,2,1,7,30,AGHS3,1,7.06,NA,0.597,NA,Alive
Year_0,10801,LA_Tech,2,1,8,1,AGHS1,6,5.33,NA,0.558,NA,Alive
Year_0,10802,LA_Tech,2,0,8,2,AGHS1,6,4.34,NA,0.478,NA,Alive
Year_0,10803,LA_Tech,2,0,8,3,AGHS1,6,3.72,NA,0.549,NA,Alive
Year_0,10804,LA_Tech,2,0,8,4,AGHS1,6,3.07,NA,0.364,NA,Alive
Year_0,10805,LA_Tech,2,1,8,5,AGHS1,6,5.3,NA,0.496,NA,Alive
Year_0,10806,LA_Tech,2,1,8,6,AGHS2,5,4.31,NA,0.451,NA,Alive
Year_0,10807,LA_Tech,2,0,8,7,AGHS2,5,5.23,NA,0.471,NA,Alive
Year_0,10808,LA_Tech,2,0,8,8,AGHS2,5,5.81,NA,0.416,NA,Alive
Year_0,10809,LA_Tech,2,0,8,9,AGHS2,5,5.23,NA,0.457,NA,Alive
Year_0,10810,LA_Tech,2,1,8,10,AGHS2,5,3.54,NA,0.465,NA,Alive
Year_0,10811,LA_Tech,2,1,8,11,AGHS4,2,5.19,NA,0.597,NA,Alive
Year_0,10812,LA_Tech,2,0,8,12,AGHS4,2,3.77,NA,0.568,NA,Alive
Year_0,10813,LA_Tech,2,0,8,13,AGHS4,2,5.45,NA,0.663,NA,Alive
Year_0,10814,LA_Tech,2,0,8,14,AGHS4,2,5.18,NA,0.499,NA,Alive
Year_0,10815,LA_Tech,2,1,8,15,AGHS4,2,3.4,NA,0.509,NA,Alive
Year_0,10816,LA_Tech,2,1,8,16,AGH2,3,4.19,NA,0.468,NA,Alive
Year_0,10817,LA_Tech,2,0,8,17,AGH2,3,4.42,NA,0.431,NA,Alive
Year_0,10818,LA_Tech,2,0,8,18,AGH2,3,3.19,NA,0.399,NA,Alive
Year_0,10819,LA_Tech,2,0,8,19,AGH2,3,6.69,NA,0.426,NA,Alive
Year_0,10820,LA_Tech,2,1,8,20,AGH2,3,4.99,NA,0.5,NA,Alive
Year_0,10821,LA_Tech,2,1,8,21,AGH25,4,5.72,NA,0.421,NA,Alive
Year_0,10822,LA_Tech,2,0,8,22,AGH25,4,5.82,NA,0.536,NA,Alive
Year_0,10823,LA_Tech,2,0,8,23,AGH25,4,4.69,NA,0.311,NA,Alive
Year_0,10824,LA_Tech,2,0,8,24,AGH25,4,4.18,NA,0.454,NA,Alive
Year_0,10825,LA_Tech,2,1,8,25,AGH25,4,3.99,NA,0.533,NA,Alive
Year_0,10826,LA_Tech,2,1,8,26,AGHS3,1,6.43,NA,0.553,NA,Alive
Year_0,10827,LA_Tech,2,0,8,27,AGHS3,1,3.38,NA,0.526,NA,Alive
Year_0,10828,LA_Tech,2,0,8,28,AGHS3,1,5.59,NA,0.511,NA,Alive
Year_0,10829,LA_Tech,2,0,8,29,AGHS3,1,5.49,NA,0.466,NA,Alive
Year_0,10830,LA_Tech,2,1,8,30,AGHS3,1,4.39,NA,0.539,NA,Alive
Year_0,10901,LA_Tech,2,1,9,1,AGHS1,6,4.1,NA,0.523,NA,Alive
Year_0,10902,LA_Tech,2,0,9,2,AGHS1,6,4.2,NA,0.631,NA,Alive
Year_0,10903,LA_Tech,2,0,9,3,AGHS1,6,3.54,NA,0.596,NA,Alive
Year_0,10904,LA_Tech,2,0,9,4,AGHS1,6,4.37,NA,0.296,NA,Alive
Year_0,10905,LA_Tech,2,1,9,5,AGHS1,6,3.9,NA,0.546,NA,Alive
Year_0,10906,LA_Tech,2,1,9,6,AGHS2,5,3.67,NA,0.46,NA,Alive
Year_0,10907,LA_Tech,2,0,9,7,AGHS2,5,2.93,NA,0.426,NA,Alive
Year_0,10908,LA_Tech,2,0,9,8,AGHS2,5,3.55,NA,0.4,NA,Alive
Year_0,10909,LA_Tech,2,0,9,9,AGHS2,5,2.97,NA,0.412,NA,Alive
Year_0,10910,LA_Tech,2,1,9,10,AGHS2,5,3.61,NA,0.423,NA,Alive
Year_0,10911,LA_Tech,2,1,9,11,AGHS4,2,4.43,NA,0.557,NA,Alive
Year_0,10912,LA_Tech,2,0,9,12,AGHS4,2,4.52,NA,0.565,NA,Alive
Year_0,10913,LA_Tech,2,0,9,13,AGHS4,2,5.16,NA,0.576,NA,Alive
Year_0,10914,LA_Tech,2,0,9,14,AGHS4,2,4.47,NA,0.584,NA,Alive
Year_0,10915,LA_Tech,2,1,9,15,AGHS4,2,5.47,NA,0.559,NA,Alive
Year_0,10916,LA_Tech,2,1,9,16,AGH2,3,4.77,NA,0.609,NA,Alive
Year_0,10917,LA_Tech,2,0,9,17,AGH2,3,4.85,NA,0.528,NA,Alive
Year_0,10918,LA_Tech,2,0,9,18,AGH2,3,5.07,NA,0.556,NA,Alive
Year_0,10919,LA_Tech,2,0,9,19,AGH2,3,5.2,NA,0.592,NA,Alive
Year_0,10920,LA_Tech,2,1,9,20,AGH2,3,6.05,NA,0.541,NA,Alive
Year_0,10921,LA_Tech,2,1,9,21,AGH25,4,4.05,NA,0.447,NA,Alive
Year_0,10922,LA_Tech,2,0,9,22,AGH25,4,4.98,NA,0.524,NA,Alive
Year_0,10923,LA_Tech,2,0,9,23,AGH25,4,5.09,NA,0.381,NA,Alive
Year_0,10924,LA_Tech,2,0,9,24,AGH25,4,5.36,NA,0.444,NA,Alive
Year_0,10925,LA_Tech,2,1,9,25,AGH25,4,4.41,NA,0.287,NA,Alive
Year_0,10926,LA_Tech,2,1,9,26,AGHS3,1,4.33,NA,0.586,NA,Alive
Year_0,10927,LA_Tech,2,0,9,27,AGHS3,1,4.07,NA,0.513,NA,Alive
Year_0,10928,LA_Tech,2,0,9,28,AGHS3,1,3.03,NA,0.414,NA,Alive
Year_0,10929,LA_Tech,2,0,9,29,AGHS3,1,4.85,NA,0.496,NA,Alive
Year_0,10930,LA_Tech,2,1,9,30,AGHS3,1,5.03,NA,0.532,NA,Alive
Year_0,11001,LA_Tech,2,1,10,1,AGHS1,6,4.61,NA,0.591,NA,Alive
Year_0,11002,LA_Tech,2,1,10,2,AGHS1,6,3.41,NA,0.437,NA,Alive
Year_0,11003,LA_Tech,2,1,10,3,AGHS1,6,3.44,NA,0.497,NA,Alive
Year_0,11004,LA_Tech,2,1,10,4,AGHS1,6,3.39,NA,0.526,NA,Alive
Year_0,11005,LA_Tech,2,1,10,5,AGHS1,6,3.23,NA,0.462,NA,Alive
Year_0,11006,LA_Tech,2,1,10,6,AGHS2,5,4.96,NA,0.438,NA,Alive
Year_0,11007,LA_Tech,2,1,10,7,AGHS2,5,5.1,NA,0.496,NA,Alive
Year_0,11008,LA_Tech,2,1,10,8,AGHS2,5,5.25,NA,0.466,NA,Alive
Year_0,11009,LA_Tech,2,1,10,9,AGHS2,5,3.21,NA,0.395,NA,Alive
Year_0,11010,LA_Tech,2,1,10,10,AGHS2,5,3.85,NA,0.452,NA,Alive
Year_0,11011,LA_Tech,2,1,10,11,AGHS4,2,4.13,NA,0.586,NA,Alive
Year_0,11012,LA_Tech,2,1,10,12,AGHS4,2,4.29,NA,0.546,NA,Alive
Year_0,11013,LA_Tech,2,1,10,13,AGHS4,2,4.25,NA,0.638,NA,Alive
Year_0,11014,LA_Tech,2,1,10,14,AGHS4,2,5.39,NA,0.571,NA,Alive
Year_0,11015,LA_Tech,2,1,10,15,AGHS4,2,3.99,NA,0.551,NA,Alive
