Plot,Lon,Lat,Stand,Tree_ID,D_CAL,D_FS,D_ARB,H_VER,H_ARB
193,-93.04817882,32.74856191,Open,1,,,,,
193,-93.04817882,32.74856191,Open,2,,,,,
193,-93.04817882,32.74856191,Open,3,,,,,
227,-93.04817882,32.74890598,Open,1,,,,,
227,-93.04817882,32.74890598,Open,2,,,,,
227,-93.04817882,32.74890598,Open,3,,,,,
240,-93.04899597,32.74907801,Open,1,,,,,
240,-93.04899597,32.74907801,Open,2,,,,,
240,-93.04899597,32.74907801,Open,3,,,,,
240,-93.04899597,32.74907801,Open,4,,,,,
251,-93.04674879,32.74907801,Open,1,,,,,
251,-93.04674879,32.74907801,Open,2,,,,,
251,-93.04674879,32.74907801,Open,3,,,,,
251,-93.04674879,32.74907801,Open,4,,,,,
251,-93.04674879,32.74907801,Open,5,,,,,
251,-93.04674879,32.74907801,Open,6,,,,,
251,-93.04674879,32.74907801,Open,7,,,,,
251,-93.04674879,32.74907801,Open,8,,,,,
266,-93.04715737,32.74925004,Open,1,,,,,
266,-93.04715737,32.74925004,Open,2,,,,,
266,-93.04715737,32.74925004,Open,3,,,,,
266,-93.04715737,32.74925004,Open,4,,,,,
266,-93.04715737,32.74925004,Open,5,,,,,
277,-93.04838311,32.74942207,Open,1,,,,,
277,-93.04838311,32.74942207,Open,2,,,,,
277,-93.04838311,32.74942207,Open,3,,,,,
278,-93.04817882,32.74942207,Open,1,,,,,
278,-93.04817882,32.74942207,Open,2,,,,,
278,-93.04817882,32.74942207,Open,3,,,,,
278,-93.04817882,32.74942207,Open,4,,,,,
278,-93.04817882,32.74942207,Open,5,,,,,
